Title,Location,Model ,KM,Fuel Type,CC,Specs,Price
Suzuki Wagon R 2018 VXL for Sale,Lahore,2018,"39,800",Petrol,1000,Manual,23.75lacs
Toyota Vitz 2008 for Sale,Karachi,2008,"177,000",Petrol,1000,Automatic,22.5lacs
Toyota Fortuner 2021 2.8 Sigma 4 for Sale,Lahore,2021,"44,000",Diesel,2800,Automatic,1.49crore
Suzuki Liana 2007 for Sale,Karachi,2007,"100,000",Petrol,1300,Manual,10lacs
Suzuki Wagon R 2015 FX Limited for Sale,Islamabad,2015,"139,400",Petrol,660,Automatic,25lacs
Suzuki Every 2013 for Sale,Haripur,2013,"85,000",Petrol,660,Automatic,17.7lacs
Toyota Corolla 2013 Altis 1.6 for Sale,Sargodha,2013,"145,000",Petrol,1600,Manual,29lacs
Toyota Yaris 2022 GLI CVT 1.3 for Sale,Karachi,2022,"16,000",Petrol,1300,Automatic,47lacs
Suzuki Alto 2006 VXR for Sale,Lahore,2006,"265,000",Petrol,1000,Manual,8.7lacs
Nissan Dayz 2018 for Sale,Karachi,2018,124,Petrol,660,Automatic,26.98lacs
Toyota Corolla 8th (E110) Generation 1994 XE for Sale,Karachi,1994,"120,152",Petrol,1300,Manual,17.5lacs
Suzuki Mehran 2011 VXR for Sale,Multan,2011,"8,500",Petrol,800,Manual,7.4lacs
Daihatsu Mira 2016 X Memorial Edition for Sale 5.1/10,Karachi,2016,"71,358",Petrol,660,Automatic,26.5lacs
Mazda Carol 2014 GS for Sale,Islamabad,2014,"95,000",Petrol,660,Automatic,24.5lacs
Honda Civic 2017 Oriel 1.8 i-VTEC CVT for Sale,Gujrat,2017,"40,253",Petrol,1800,Automatic,52.4lacs
Suzuki Wagon R 2021 Hybrid FX for Sale 6/10,Lahore,2021,"13,297",Hybrid,660,Automatic,38lacs
Toyota Corolla 2019 XLi Automatic for Sale,Karachi,2019,"67,000",Petrol,1300,Automatic,41.5lacs
Honda Civic 2018 Oriel 1.8 i-VTEC CVT for Sale,Islamabad,2018,"113,000",Petrol,1800,Automatic,51.5lacs
Toyota Corolla 2013 XLi VVTi for Sale 7.2/10,Rawalpindi,2013,"271,071",Petrol,1300,Manual,29lacs
Toyota Fortuner 2018 2.8 Sigma 4 for Sale,Islamabad,2018,"55,000",Diesel,2800,Automatic,1.3crore
MG ZS EV 2021 for Sale,Lahore,2021,"26,000",Electric,44.0,Automatic,79.5lacs
Honda City 5th (GM2) Generation 2018 1.3 i-VTEC Prosmatec for Sale,Islamabad,2018,"234,000",Petrol,1300,Automatic,34lacs
Honda Civic 2021 Oriel 1.8 i-VTEC CVT for Sale,Multan,2021,"1,235",Petrol,1800,Automatic,70.45lacs
Lexus RX Series 2013 450h for Sale 8.8/10,Lahore,2013,"135,777",Petrol,3500,Automatic,1.16crore
Toyota Vitz 2014 F 1.0 for Sale,Lahore,2014,"92,000",Petrol,1000,Automatic,32lacs
Nissan Sunny 1990 for Sale,Karachi,1990,"120,000",Petrol,1300,Manual,2.8lacs
Toyota Corolla 2017 Altis Grande CVT-i 1.8 for Sale,Karachi,2017,"100,000",Petrol,1800,Automatic,42lacs
Honda Civic Rebirth 2013 VTi Prosmatec 1.8 i-VTEC for Sale,Lahore,2013,"93,000",Petrol,1800,Automatic,29lacs
Suzuki Mehran 1992 VX for Sale,Karachi,1992,"192,000",Petrol,800,Manual,2.9lacs
Suzuki Wagon R 2018 VXL for Sale,Islamabad,2018,"80,500",Petrol,1000,Manual,24.1lacs
Toyota Corolla 2015 GLi 1.3 VVTi for Sale,Kamoke,2015,"190,000",Petrol,1300,Manual,31.75lacs
Toyota Aqua 2014 S for Sale,Karachi,2014,"87,927",Hybrid,1500,Automatic,34.25lacs
